,Expressions,Kulvi,Dogri,Garhwali,Kumaoni,Gaddi,Konkani,Nepali,Kudmali,Bengali,Assamese,Marwari,Punjabi,Oriya,Kashmiri,Marathi,Gujarati,Sindhi,Pahari,Nagpuri,Wagdi,Bajjika,Sanskrit,Panchpargania,Sylheti,Urdu,Halbi,Khortha,Rajbonshi
,I ate 1/2 of the Pizza.,mɛ oddɑ pizzɑ kʰɑu,mɛ ɑddɑ pizzɑ kʰɑjeɖejɑ,mel ɑddɑ pizzɑ kʰjɑl,mɛ ɑdʰu pizzɑ kʰɛ hɛ,me əddɑ pizzɑ kʰəu tʰu,-,mɛle ɑdʰɑ pizzɑ kʰɑe,mə̃ kʰɑ̃ɽɑ pizzɑ nuɽələ̃,ɑmɪ ɑrd̪ʰek pɪd̪zɑ kʰeječʰɪ,moɪ dʊbʰɑɡor ɛbhɑɡ pɪzɑ: kʰɑlʊ,mhu ad̪ʰo pɪzzo kʰɑjɑ,mɛ̃ əddɑ pizzɑ kʰɑd̪d̪ɑ,mu pɪzzɑ rə əd̪ʰɑ kʰɑɪlɪ,me kʰjəu oɖ pizzɑ,mɪ ərd̪ʰɑ pɪzzɑkʰɑllɑ,mɛ ərd̪ʰo pɪzzɑ kʰɑd̪o,ɑu əd̪ʰ pɪzzɑ kʰɑd̪o,-,moj̃ ɑdʰɑ pizzɑ kʰɑe lelu,-,həm pizzɑ ke ɑdʰɑ bʰɑɡ kʰɑ lelijəu,əhəm ərdʰ pizzɑm kʰɑditʋɑn,mõj ɑdʰɑ pizzɑ kʰɑlo,ɑmi ɑd̪ɑ fiʈzɑ xɑisi,mɛne ɑdʰɑ piʈsɑ kʰɑjɑ,mə̃j pizzɑ čo ɑdʰɑ bʰɑɡ kʰɑdle,həme ɑdʰɑ pizzɑ kʰɑi lelijo,mui ɑddekʰɑn pizzɑ kʰɑluŋ
,I ate 2/3 of the Pizza.,-,-,mel do tihɑi pizzɑ kʰjɑl,mɛ di tihɑi pizzɑ kʰɛ hɛ,-,-,mɛle du tihɑi pizzɑ kʰɑe,mə̃ ʈenɑ hĩsɑj dənɑ kʰɑ̃ɽɑ pizzɑ nuɽələ̃,ɑmɪ pɪd̪zɑ tər t̪ɪn bʰɑɡer d̪o bʰɑɡ kʰejec25ʰɪ,moɪ tɪnɪbʰɑɡor dʊbʰaɡ pɪzɑ: kʰɑlʊ,mhu do bʰɑɡ me su pɪzzɑ kʰɑjɑ,mɛ̃ pɪzzɑ d̪ɑ d̪o t̪ɪhɑɪ hɪssɑ kʰɑd̪d̪ɑ,mu pɪzzɑ rə d̪uɪ t̪rut̪ɪyɑ̃nšɑ kʰɑɪlɪ,-,-,mɛ  t̪roɳ mɑ:t̪ʰɪ be bʰɑɡno pɪzzɑ kʰɑd̪o,ɑu d̪o t̪ɪhɑɪ pɪzzɑ kʰɑd̪o,-,moj̃ dui tihɑi pizzɑ kʰɑe lelu,-,həm pizzɑ ke du tihɑi bʰɑɡ kʰɑ lelijəu,-,mõj dui tihɑi pizzɑ kʰɑlo,ɑmi fiʈzɑr t̪in bɑɡ-or d̪ui bɑɡ xɑisi,mɛne do tihɑi hissɑ piʈsɑ kʰɑjɑ,-,həme do tihɑi pizzɑ kʰɑi lelijo,-
,I read 3/4 of the book.,-,-,mel kitɑbɑ ɡo tin čɔtʰɑi bʰɑɡ pəiɖɑl,mɛne tin čotʰɑi pəɽʰe hɛ,-,-,mɛle tin tʃotʰɑi kitɑb pəɖʰe,mə̃ pətʰi kər čɑrɑ hĩsɑj ʈenɑ hĩsɑ pəɖʰi lelə̃,ɑmɪ boɪ tər čɑr bʰɑɡer t̪ɪn bʰɑɡ poɽʰečʰɪ,moɪ kɪtɑ:pkʰɒnɒr sɑrɪbʰɑɡor tɪnɪbʰɑɡ hɛ porhɪsʊ,mhu čɑr mese t̪ɪn pədʰɪ,mɛ̃ kɪt̪ɑb d̪ɑ t̪ɪn čot̪ʰɑɪ  hɪssɑ pəɖʰ lejɑ,mu bəhɪ rə t̪ɪnɪ čət̪urt̪ʰɑ̃nšɑ pədʰilɪ,-,-,mɛ čɑr mɑ:t̪ʰɪ t̪ron bʰɑɡnɪ čɔprɪ ʋɑ̃čɪ,ɑu kɪt̪ɑb ǰo ʈɪo hɪsso pəɖʰɪ rəkʰɪjo ɑhe,-,moj̃ i: kitɑb kər tin čɔtʰɑi bʰɑɡ pəɖʰ lelu,-,həm kitɑb ke tin čɔtʰɑi bʰɑɡ pəɖʰ lelijəu,-,mõj kitɑb ker tin cotʰɑi bʰɑɡ pəɖʰlo,ɑmi boir sɑir bɑɡ-or t̪in bɑɡ forsi,mɛne is kitɑb kɑ tin tʃutʰɑi hissɑ pəɽʰ liɑ hɛ,-,həme kitɑb kər tin čɔtʰɑi bʰɑɡ pəɽʰ le lijo,-
,I read 1/4 of the book.,-,mɛ poɳi kitɑb pəɖi  čuki dɛ,mel kitɑbɑ ɡo čɔtʰɑ hissɑ pəiɖɑl,mɛne ek čotʰɑi pəɽʰe hɛ,-,-,mɛle jo kitɑb ko ek tʃotʰɑi hissɑ pəɖʰe,-,ɑmɪ boɪ tər čɑr bʰɑɡer æk bʰɑɡ poɽʰečʰɪ,moɪ kɪtɑ:pkʰɒnɒr sɑrɪbʰɑɡor ɛbʰɑɡ hɛ porhɪsʊ,mhu ek čoʈʰɑɪ kɪtɑb pɑdʰɪ,mɛ̃ kɪt̪ɑb d̪ɑ čɔt̪ʰɑ  hɪssɑ pəɖʰ lejɑ,mu bəhɪ rə ekə čət̪urt̪ʰɑ̃nšɑ pədʰilɪ,me pur kitɑb hund tʃurjəm hissə,-,mɛ cɔt̪ʰo bʰɑɡnɪ čɔprɪ ʋɑ̃čɪ,ɑu kɪt̪ɑb ǰo di tihɑi pəɖʰɪ rəkʰɪjo ɑhe,-,moj̃ ek čɔtʰɑi bʰɑɡ kitɑb pəɖʰ lelu,-,həm kitɑb ke ek čɔtʰɑi bʰɑɡ pəɖʰ lelijəu,-,mõj kitɑb ker ek cotʰɑi bʰɑɡ pəɖʰlo,ɑmi boir sɑir bɑɡ-or æx bɑɡ forsi,mɛne is kitɑb kɑ ɑek tʃutʰɑi hissɑ pəɽʰ liɑ hɛ,-,həme kitɑb kər ek čɔtʰɑi bʰɑɡ pəɽʰ le lijo,-
,I ate 1/5 of the Pizza.,-,-,-,-,-,-,mɛle pizzɑ kɑ pɑ̃tʃõ hissɑ/bʰɑɡ kʰɑe,-,ɑmɪ pɪd̪zɑ tər pɑ̃č bʰɑɡer æk bʰɑɡkʰeječʰɪ,moɪ pɑ:sbʰɑɡor ɛbʰɑ:ɡ pɪzɑ: hɛ kʰɑɪsʊ,mhu pɑ:nč bʰɑɡɑ mesu ek bʰɑɡ  pɪzzɑ kʰɑjɑ,mɛ̃ pɪzzɑ d̪ɑ pənǰʋɑ̃ hɪssɑ kʰɑd̪d̪ɑ,mu pɪzzɑ rə ekə penčəmɑ̃nšɑ kʰɑɪlɪ,me kʰjəu pizzɑ putʃjəm hissə,-,mɛ  pɑ̃cma bʰɑɡno pɪzzɑ kʰɑd̪o,ɑu pɪzzɑ ǰo pənǰo hɪsso kʰɑɪ rəkʰɪjo ɑhe,-,moj̃ pəčʋɑ bʰɑɡ kər pizzɑ kʰɑe lelu,-,həm pizzɑ ke ek bəʈe pɑ̃č bʰɑɡ kʰɑ lelijəu,-,mõj pizzɑ ker pəcʋɑ̃ bʰɑɡ kʰɑlo,ɑmi fiʈzɑr fɑs bɑɡ-or æx bɑɡ xɑisi,mɛne is kitɑb kɑ ɑek pɑcʋɑ hissɑ pəɽʰ liɑ hɛ,-,həme kitɑb kər ek pɑ̃čʋɑ bʰɑɡ pəɽʰ le lijo,-
,I read 2/7 of the book.,-,-,mel kitɑbɑ ɡo dui bəʈe sɑt bʰɑɡ pəiɖɑl,-,-,-,-,-,ɑmɪ boɪ tər šɑt̪ bʰɑɡer d̪uɪ bʰɑɡ poɽʰečʰɪ,moɪ kɪtɑ:pkʰɒnɒr hɑ:tbʰɑɡor dʊbʰɑɡ hɛ porhɪsʊ,mhu sɑ:t bʰɑɡɑ mesu ðɔ bʰɑɡ kɪtɑb pɑdʰɪ,mɛ̃ kɪt̪ɑb d̪ɑ d̪o bətɑ sɑt̪t̪ hɪssɑ pəɖʰ lejɑ,mu bəhɪ rə d̪uɪ səpt̪əmɑ̃nšɑ pədʰilɪ,-,-,mɛ sɑt̪ mɑ:t̪ʰɪ bɛ bʰɑɡnɪ čɔprɪ ʋɑ̃čɪ,ɑu kɪt̪ɑb ǰo d̪o bətɑ sɑt̪ hɪsso pəɖʰɪ rəkʰɪjo ɑhe,-,-,-,həm kitɑb ke du bəʈe sɑt bʰɑɡ pəɖʰ lelijəu,-,mõj kitɑb ker dui bəʈɑ sɑt bʰɑɡ pəɖʰlo,ɑmi boir ʃɑt̪ bɑɡ-or d̪ui bɑɡ forsi,mɛne is kitɑb kɑ do bəʈɑ sɑtʋɑ̃ hissɑ pəɽʰ liɑ hɛ,-,həme kitɑb kər dui sɑtʋɑ̃ bʰɑɡ pəɽʰ le lijo,-
,I read 3/7 of the book.,-,-,mel kitɑbɑ ɡo tin bəʈe sɑt bʰɑɡ pəiɖɑl,-,-,-,-,-,ɑmɪ boɪ tər šɑt̪ bʰɑɡer t̪ɪn bʰɑɡ poɽʰečʰɪ,moɪ kɪtɑ:pkʰɒnɒr hɑ:tbʰɑɡor tɪnɪbʰɑɡ hɛ porhɪsʊ,mhu sɑ:t bʰɑɡɑ mesu tɪn bʰɑɡ kɪtɑb pɑdʰɪ,mɛ̃ kɪt̪ɑb d̪ɑ t̪ɪn bətɑ sɑt̪t̪  hɪssɑ pəɖʰ lejɑ,mu bəhɪ rə t̪ɪnɪ səpt̪əmɑ̃nšɑ pədʰilɪ,-,-,mɛ sɑt̪ mɑ:t̪ʰɪ t̪roǰɑ bʰɑɡnɪ čɔprɪ ʋɑ̃čɪ,ɑu kɪt̪ɑb ǰo t̪ɪn bətɑ sɑt̪ hɪsso pəɖʰɪ rəkʰɪjo ɑhe,-,-,-,həm kitɑb ke tin bəʈe sɑt bʰɑɡ pəɖʰ lelijəu,-,mõj kitɑb ker tin bəʈɑ sɑt bʰɑɡ pəɖʰlo,ɑmi boir ʃɑt̪ bɑɡ-or t̪in bɑɡ forsi,mɛne is kitɑb kɑ tin bəʈɑ sɑtʋɑ̃ hissɑ pəɽʰ liɑ hɛ,-,həme kitɑb kər tin sɑtʋɑ̃ bʰɑɡ pəɽʰ le lijo,-
,I read 3/5 of the book.,-,-,mel kitɑbɑ ɡo tin bəʈe pɑ̃č bʰɑɡ pəiɖɑl,-,-,-,-,-,ɑmɪ boɪ tər pɑ̃č bʰɑɡer t̪ɪn bʰɑɡ poɽʰečʰɪ,moɪ kɪtɑ:pkʰɒnɒr pɑ:sbʰɑɡor tɪnɪbʰɑɡ hɛ porhɪsʊ,mhu pɑ:nč bʰɑɡɑ mesu tɪn bʰɑɡ kɪtɑb pɑdʰɪ,mɛ̃ kɪt̪ɑb d̪ɑ t̪ɪn bətɑ pənǰ hɪssɑ pəɖʰ lejɑ,mu bəhɪ rə t̪ɪnɪ pənčəmɑ̃nšɑ pədʰilɪ,-,-,mɛ pɑ̃nč̪ mɑ:t̪ʰɪ t̪rɪǰɑ bʰɑɡnɪ čɔprɪ ʋɑ̃čɪ,ɑu kɪt̪ɑb ǰo d̪o bətɑ čʰe̪ hɪsso pəɖʰɪ rəkʰɪjo ɑhe,-,-,-,həm kitɑb ke tin bəʈe pɑ̃č bʰɑɡ pəɖʰ lelijəu,-,mõj kitɑb ker tin bəʈɑ pɑ̃c bʰɑɡ pəɖʰlo,ɑmi boir fɑs bɑɡ-or t̪in bɑɡ forsi,mɛne is kitɑb kɑ tin bəʈɑ pɑtʃʋɑ̃ hissɑ pəɽʰ liɑ hɛ,-,həme kitɑb kər tin pɑ̃čʋɑ̃ bʰɑɡ pəɽʰ le lijo,-
,I  ate 2/6 of the Pizza.,-,-,mel pizzɑ ko dui bəʈe čʰe bʰɑɡ kʰjɑl,-,-,-,-,-,ɑmɪ pɪd̪zɑ tər čʰɔe bʰɑɡer d̪uɪ bʰɑɡ kʰeječʰɪ,moɪ sɒbʰɑɡor tɪnɪbʰɑɡ pɪzɑ: hɛ kʰɑ:lʊ,mhu ek tɪhɑɪ pɪzzɑ kʰɑjɑ,mɛ̃ pɪzzɑ d̪ɑ tdo bətɑ čʰe hɪssɑ kʰɑd̪d̪ɑ,mu pɪzzɑ rə d̪uɪ sət̪ɑ̃nšɑ kʰɑɪlɪ,-,-,mɛ  čʰɔ mɑ:t̪ʰɪ bɛ bʰɑɡno pɪzzɑ kʰɑd̪o,ɑu pɪzzɑ ǰo d̪o bətɑ čʰe hɪsso kʰɑɪ rəkʰɪjo ɑhe,-,-,-,həm pizzɑ ke du bəʈe čʰɔ bʰɑɡ kʰɑ lelijəu,-,mõj pizzɑ ker dui bəʈɑ čʰe bʰɑɡ kʰɑlo,ɑmi fiʈzɑr sɔe bɑɡ-or d̪ui bɑɡ xɑisi,mɛne piʈsɑ kɑ do bəʈɑ tʃʰɑʈɑ hissɑ kʰɑ liɑ hɛ,-,həme du ʃolʋɑ pizzɑ kʰɑi lelijo,-
,I ate 1/16 of the pizza.,-,-,mel pizzɑ ko ek sol čʰe bʰɑɡ kʰjɑl,-,əkʰ bəʈɑ solɑ,-,mɛle pizzɑ kɑ ʃoro hissɑ/bʰɑɡ kʰɑe,-,ɑmɪ pɪd̪zɑ tər šolo bʰɑɡer æk bʰɑɡ kʰeječʰɪ,moɪ hʊllɒ bʰɑɡor ɛbʰɑɡ pɪzɑ: hɛ kʰɑ:lʊ,mhu soləro bʰɑɡɑ mese ek bʰɑa  pɪzzo kʰɑjɑ,mɛ̃ pɪzzɑ d̪ɑ soləhʋɑ̃ hɪssɑ kʰɑd̪d̪ɑ,mu pɪzzɑ rə ekə səsʈʰəd̪əsɑ̃nšɑ kʰɑɪlɪ,me kʰjəu pizzɑ surrəhim hissə,-,mɛ  soɭmɑ bʰɑɡno pɪzzɑ kʰɑd̪o,ɑu pɪzzɑ ǰo ʃoro hɪsso kʰɑɪ rəkʰɪjo ɑhe,-,moj̃ soləhʋɑ bʰɑɡ pizzɑ kʰɑe lelu,-,həm pizzɑ ke ek bəʈe solɑ bʰɑɡ kʰɑ lelijəu,-,mõj pizzɑ ker solʋɑ̃ bʰɑɡ kʰɑlo,ɑmi fiʈzɑr ʃullo bɑɡ-or æx bɑɡ xɑisi,mɛne piʈsɑ kɑ ɑek bəʈɑ solʋɑ̃ hissɑ kʰɑ liɑ hɛ,-,həme ek ʃolʋɑ pizzɑ kʰɑi lelijo,-
,I read 1/10 part of the book.,-,mɛ i kitɑb dɑ dəsmɑ hissɑ pəɖi čuki dɛ,mel kitɑbɑ ɡo ek bəʈe dəs bʰɑɡ pəiɖɑl,mɛl kitɑbɑ dəsu bʰɑɡ pəɽʰe hɛ,əkʰ bəʈɑ dəs,-,mɛle jo kitɑb ko dəsʋõ bʰɑɡ pəɖʰe,mə̃ pətʰi kər sĩhəm kʰɑ̃ndʰɑ pəɖʰələ̃,ɑmɪ boɪ tər d̪ɔš bʰɑɡer æk bʰɑɡ poɽʰečʰɪ,moɪ kɪtɑ:pkʰɒnɒr dhɒbʰɑɡor ɛbʰɑɡ hɛ porhɪsʊ,mhu dəsvo bʰɑɡɑ kɪtɑb pɑdʰɪ,mɛ̃ kɪt̪ɑb d̪ɑ d̪əsʋɑ̃ hɪssɑ pəɖʰ lejɑ,mu bəhɪ rə ekə d̪əsəmɑ̃nšɑ pədʰilɪ,me pur kitɑb hund dəhjəm hissə,-,mɛ d̪əsmɑ bʰɑɡnɪ čɔprɪ ʋɑ̃čɪ,ɑu kɪt̪ɑb ǰo ɖəʋo hɪsso pəɖʰɪ rəkʰɪjo ɑhe,-,moj̃ dəsʋɑ bʰɑɡ kitɑb pəɖʰ lelu,-,həm kitɑb ke ek bəʈe dəs  bʰɑɡ pəɖʰ lelijəu,-,mõj kitɑb ker dəsʋɑ̃ bʰɑɡ pəɖʰlo,ɑmi boir d̪ɔʃ bɑɡ-or æx bɑɡ forsi,mɛne is kitɑb kɑ ɑek bəʈɑ dəsʋɑ̃ hissɑ pəɽʰ liɑ hɛ,-,həme kitɑb kər  dəsʋɑ' bʰɑɡ pəɽʰ le lijo,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Multiplicatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I met him once.,həũ tei səŋɡɛ ek ɡʰere mili,mɛ ussi ɛk bɑr milijɑ,mi ʋe se ek bɑr mil,mɛ use ek bɑr mili,əũ teste ek ʋɑri milu tʰu,hɑ̃v t̪ɑkɑ ekdɑ̃ meɭɪllɛ̃,mɛle uslɑi/uhɑlɑi ek čoʈi/pəʈʰək beʈʰeɡo  tʰe,mə̃ əkər sə̃ŋe ənɑ dʰɑũ bʰẽʈɑl,ɑ:mɪ or šɑt̪ʰe æk bɑ:r d̪ækʰɑ korečʰɪ,mɑɪ tɑ:k ɛbɑ:r loɡ pɑ:sʊ,mhu bɪsu ekər mɪləjo,mɛ̃ usɳu ɪkk ʋɑrɪ mɪljɑ,mu t̪ɑku t̪ʰəre pɑɪ bʰeʈɪlɪ,bə sɑmkʰʋojəs t̪əmɪs əkɪjəlɑɪʈjə/əɪkɪfɪre,mɪ t̪ɑlɑ ekd̪ɑ bʰeʈle,hũ t̪ɛne ek ʋɑr məɽjo čʰu,ɑu unkʰɑ ɪkk d̪əfɑ mɪlɪjo əjɑ,me ussi ek ʋɑri miljɑ sɑ,moĩ ukər se ek dʰɑũ mil hõ,mu ene ek ʋəkət məljõ,həm okrɑ se ek bɑr millijəu hə,əhəm ek ʋɑrəm təm militʋɑn,moj̃ ukər səŋɡe ek bɑr mil-lo,ɑmɑr t̪ɑr lɔɡe æx bɑr d̪ɛxɑ oise,me ɑek dəfɑ us se milɑ hũ,mə̃j hunke/hunmən ke ek hɑr bʰeʈu rəle,həm okər se ek bɑir milil je,mor uʋɑr sɑtʰe ɛk bɑr dekʰɑ
,I met him twice.,həũ tei səŋɡɛ dui ɡʰere mili,mɛ ussi do bɑr milijɑ,mi ʋe se dosər bɑr mil,mɛ use do bɑr mili,əũ teste do ʋɑri milu tʰu,hɑ̃v t̪ɑkɑ d̪ɔnd̪ɑ̃ meɭɪlɛ̃,mɛle uhɑlɑi dui čoʈi beʈʰeɡo čʰõ,mə̃ əkər sə̃ŋe dənɑ dʰɑũ bʰẽʈɑl,ɑ:mɪ or šɑt̪ʰe d̪u bɑ:r d̪ækʰɑ korečʰɪ,mɑɪ tɑ:k dʊ bɑ:r loɡ pɑ:sʊ,mhu bɪsu do bar mɪləjo,mɛ̃ usɳu d̪o ʋɑrɪ mɪljɑ,mu t̪ɑku d̪ɪ t̪ʰəre pɑɪ bʰeʈɪlɪ,bə sɑmkʰʋojəs t̪əmɪs d̪ʋɑɪlɑɪʈjə/ d̪ʋɑɪfɪre,mɪ t̪ɑlɑ d̪ond̪ɑ bʰeʈle,hũ t̪ɛne be ʋɑr məɽjo čʰu,ɑu unkʰɑ bə d̪əfɑ mɪlɪjo əjɑ,me ussi do ʋɑri miljɑ,moĩ ukər se du dʰɑũ mil hõ,mu ene be ʋəkət məljõ,həm okrɑ se du bɑr millijəu hə,əhəm dʋi ʋɑrəm təm militʋɑn,moj̃ ukər səŋɡe dui bɑr mil-lo,ɑmɑr t̪ɑr lɔɡe d̪ui bɑr d̪ɛxɑ oise,me do dəfɑ us se milɑ hũ,mə̃j hunke/hunmən ke duj hɑr bʰeʈu rəle,həm okər se du bɑir milil je,mor uʋɑr sɑtʰe dui bɑr dekʰɑ
,I met him thrice.,həũ tei səŋɡɛ trɑi ɡʰere mili,mɛ ussi trɛ bɑr milijɑ,mi ʋe se tesɑr bɑr mil,mɛ use tin bɑr mili,əũ teste trɛ ʋɑri milu tʰu,hɑ̃v t̪ɑkɑ t̪ɪnd̪ɑ̃ meɭɪllɛ̃,mɛle uhɑlɑi tin čoʈi beʈʰeɡo čʰõ,mə̃ əkər sə̃ŋe ʈenɑ dʰɑũ bʰẽʈɑl,ɑ:mɪ or šɑt̪ʰe t̪i:n bɑ:r d̪ækʰɑ korečʰɪ,mɑɪ tɑ:k tɪnɪ bɑ:r loɡ pɑ:sʊ,mhu bɪsu tɪsər mɪləjo,mɛ̃ usɳu t̪ɪnn ʋɑrɪ mɪljɑ,mu t̪ɑku t̪ɪnɪ t̪ʰəre pɑɪ bʰeʈɪlɪ,bə sɑmkʰʋojəs t̪əmɪs t̪reɪjelɑɪʈjə/t̪reɪfɪre,mɪ t̪ɑlɑ t̪ɪnd̪ɑ bʰeʈle,hũ t̪ɛne t̪roɳ ʋɑr məɽjo čʰu,ɑu unkʰɑ ʈre d̪əfɑ mɪlɪjo əjɑ,me ussi trɛ ʋɑri miljɑ,moĩ ukər se tin dʰɑũ mil hõ,mu ene təɳ ʋəkət məljõ,həm okrɑ se tin bɑr millijəu hə,əhəm tri ʋɑrəm təm militʋɑn,moj̃ ukər səŋɡe tin bɑr mil-lo,ɑmɑr t̪ɑr lɔɡe t̪in bɑr d̪ɛxɑ oise,me tin dəfɑ us se milɑ hũ,mə̃j hunke/hunmən ke tin hɑr bʰeʈu rəle,həm okər se tin bɑir milil je,mor uʋɑr sɑtʰe tin bɑr dekʰɑ
,I met him forth time.,həũ tei səŋɡɛ tʃɑr ɡʰere mili,mɛ ussi čotʰi bɑr milijɑ,mi ʋe se čɔtʰ bɑr mil,mɛ use čɑr bɑr mili,əũ teste čɑr ʋɑri milu tʰu,hɑ̃v t̪ɑkɑ t͡səvtɛ fɑvtɪ̃ meɭɪllɛ̃,mɛle uhɑlɑi tʃɔtʰõ pəʈək/čoʈi beʈʰe,mə̃ əkər sə̃ŋe čɑrɑ dʰɑũ bʰẽʈɑl,ɑ:mɪ or šɑt̪ʰe čot̪urt̪ʰo bɑ:r d̪ækʰɑ korləm,mɑɪ tɑ:k sɑ:rɪ nɒmbɒr loɡ pɑ:sʊ,mhu bɪsu čoʈʰɪ bar mɪləjo,mɛ̃ usɳu čɔʈʰɪ ʋɑrɪ mɪljɑ,mu t̪ɑku čɑrɪ t̪ʰəre pɑɪ bʰeʈɪlɪ,bə sɑmkʰʋojəs t̪əmɪs tʃurjəmlɑɪʈjə/ tʃurjəmfire,mɪ t̪ɑlɑ čəʊt̪ʰjɑnd̪ɑ bʰeʈle,hũ t̪ɛne čɑr ʋɑr məɽjo čʰu,ɑu unkʰɑ čot̪ʰe d̪əfɑ mɪlɪjo əjɑ,me ussi  čotʰi ʋɑri miljɑ,moĩ ukər se čɑir dʰɑũ mil hõ,mu ene ʃɑr ʋəkət məljõ,həm okrɑ se čəutʰɑ bɑr millijəu,əhəm təm čəturtʰe (ʋɑre) militʋɑn,moj̃ ukər səŋɡe cɑir bɑr mil-lo,ɑmɑr t̪ɑr lɔɡe sɑir bɑr d̪ɛxɑ oise,me tʃɑr dəfɑ us se milɑ hũ,mə̃j hunke/hunmən ke čəʋtʰɑ hɑr bʰeʈu rəle,həm okər se čɑir bɑir milil je,mor uʋɑr sɑtʰe čɑr bɑr dekʰɑ
