,Expressions,Kulvi,Dogri,Garhwali,Kumaoni,Gaddi,Konkani,Nepali,Kudmali,Bengali,Assamese,Marwari,Punjabi,Oriya,Kashmiri,Marathi,Gujarati,Sindhi,Pahari,Nagpuri,Wagdi,Bajjika,Sanskrit,Panchpargania,Sylheti,Urdu,Halbi,Khortha,Rajbonshi
,I called her nine times.,mɛ sɔ nəu ɡʰere ʃɑdu,mɛ ussi nɔ bɑr səddi/bulɑi čukɛ de,mil ʋetʰei nɔ bɑr bulɑjɑ,mɛl uɡe nɔ bɑr bulɑ,me tese nɔ ʋɑri šəduɑ,hɑvɛ̃ t̪ɑkɑ ɳəv fɑvtɪ̃ ɑpəjllɛ̃,mɛle uhɑlɑi nɔ čoʈi bulɑje,mə̃ əke nəmi dʰɑũ ɖɑklẽj,ɑ:mɪ oke nɔ bɑ:r ɖɑkləm,moɪ tɑ:k nɒbɑ:r mɑtɪsʊ,mhu bɪnɛ nɔ: bɑ:r helo,mɛ̃ usnu nɔ ʋɑrɪ bulɑjɑ,mu t̪ɑku nə t̪ʰəre pɑɪ ɖɑkilɪ,-,mɪ t̪ɪlɑ nəu ʋəɖəs buləʊle,mɛ t̪ɛne nəʊ ʋɑr boɭɑʋɪ,ɑu unkʰɑ nəʋ d̪əfɑ səɖɖ kəjo,me ussi nəu ʋɑri bulɑjɑ,moĩ oke nɔ dʰɑũ bulɑ hõ,mu ene nɔʋ ʋəkʰət fon kərjo,həm okrɑ nɔ bɑr pʰon kəilijəu,əhəm tɑm nəʋʋɑrəm ɑhutʋɑn,moj̃ uke no bɑr ɖɑkɑlo,ɑmi t̪ɑire noɛ bɑr fon korsi,mɛne use nɔ dəfɑ bulɑjɑ,mə̃j hunke nəʋ hɑr bʰeʈu rəle,həme okrɑ nɔ bɑir ɖɑklije,mui uʋɑk noe bɑr ɖɑkɑ čuŋ
,I called him twenty five times.,mɛ sɔ pəčči ɡʰere ʃɑdu,mɛ ussi  pənǰi bɑri səddi/bulɑi čukɛ de,mil ʋetʰei pəččis bɑr bulɑjɑ,mɛl uɡe pəččis bɑr bulɑ,me tese pənǰi ʋɑri šəduɑ,hɑvɛ̃ t̪ɑkɑ pə̃cvɪs fɑvtɪ̃ ɑpəjllɔ,mɛle uhɑlɑi pəccis čoʈi bulɑje,mə̃ əke kuɽi mɑčɑ dʰɑũ ɖɑklẽj,ɑ:mɪ oke põnčiš bɑ:r ɖɑkləm,moɪ tɑ:k posɪs bɑ:r mɑtɪsʊ,mhu bɪnɛ pəčɪ:s bɑ:r helo,mɛ̃ usnu pəččɪ ʋɑrɪ bulɑjɑ,mu t̪ɑku pənčəʋɪnsə t̪ʰəre pɑɪ ɖɑkilɪ,bə sɑmkʰʋojəs t̪əmɪs pũtʃlɑɪʈje/ pũtʃjəmfire,mɪ t̪jɑlɑ pənčʋɪ  ʋəɖəs buləʊle,mɛ t̪ɛne pəččɪsʋɪ ʋɑr boɭɑʋjo,ɑu unkʰɑ pənǰʋɪ d̪əfɑ səɖɖ kəjo,me ussi pənǰi ʋɑri bulɑjɑ,moĩ oke pəččis dʰɑũ bulɑ hõ,mu ene pəsi ʋəkʰət fon kərjo,həm okrɑ pəččis bɑr pʰon kəilijəu,əhəm təm pə̃nčʋĩnʃətiʋɑrəm ɑhutʋɑn,moj̃ uke pəccis bɑr ɖɑkɑlo,ɑmi t̪ɑre fociʃ bɑr fon korsi,mɛne use pətʃis dəfɑ bulɑjɑ,mə̃j hunke pəččis/ek koɽi pɑ̃č hɑr bʰeʈu rəle,həme okrɑ pəccis bɑir ɖɑklije,mui uʋɑk poččis bɑr ɖɑkɑ čuŋ
,I called her fifteen times.,mɛ sɔ pəndrɑ ɡʰere ʃɑdu,mɛ ussi pəndrɑ bɑri səddi/bulɑi čukɛ de,mil ʋetʰei pəndrɑ bɑr bulɑjɑ,mɛl uɡe pəndrɑ bɑr bulɑ,me tese pəndrɑ ʋɑri šəduɑ,hɑvɛ̃ t̪ɑkɑ pə̃d̪rɑ fɑvtɪ̃ ɑpəjllɔ,mɛle uhɑlɑi pəndrɑ čoʈi bulɑje,mə̃ əke mɑčɑrə̃ dʰɑũ ɖɑklẽj,ɑ:mɪ oke ponerǒ bɑ:r ɖɑkləm,moɪ tɑ:k pʊndʰɒrɒ bɑ:r mɑtɪsʊ,mhu bɪnɛ pəndrɑ bɑ:r helo,mɛ̃ usnu pənd̪rɑ̃ ʋɑrɪ bulɑjɑ,mu t̪ɑku pənd̪ərə t̪ʰəre pɑɪ ɖɑkilɪ,mje kor t̪emɪs pənd̪əhlɑɪʈje əllɑu,mɪ t̪ɪlɑ pənd̪rɑ ʋəɖəs buləʊle,mɛ t̪ɛne pənd̪ər ʋɑr boɭɑʋjo,ɑu unkʰɑ pənd̪rəh d̪əfɑ səɖɖ kəjo,me ussi pəndrɑ ʋɑri bulɑjɑ,moĩ oke pəndrɑ dʰɑũ bulɑ hõ,mu ene pəndrɑ ʋəkʰət fon kərjo,həm okrɑ pəndrɑ bɑr pʰon kəilijəu,əhəm tɑm pə̃nčdəʃʋɑrəm ɑhutʋɑn,moj̃ uke pəndro bɑr ɖɑkɑlo,ɑmi t̪ɑire fonro bɑr fon korsi,mɛne use pəndʰrɑ̃ dəfɑ bulɑjɑ,mə̃j hunke pəndrɑ hɑr bʰeʈu rəle,həme okrɑ pəndrɑ bɑir ɖɑklije,mui uʋɑk ponoro bɑr ɖɑkɑ čuŋ
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Restrictives,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Only/ One,bəs ek,bəs ekko,sirf ek,sirf ek,čʰəɽɑ ək,fəkət̪ ek,keʋəl ek,kʰɑli ənɑ,kebol mɑtro ɛk-ʈɑ/ɛk-ǰon/ɛk-mɑtro/mɑtro/kebol/kʰɑli/ɛk-kʰɑnɑ,kʰɑli eʈɑ,bəs ek,sirf ik,tʰəre ɡuʈɛ,sirf əkʰ,fəktə ek,fəft ek,ruɡo ik,sirf ek,sirif eɡo,ekəs,kʰɑli/sirf ek,keʋləm ekəm,əbɡɑ ekʈɑ,mɑt̪ro æxʈɑ,sirf ɑek,ɡoʈki či,sirf ek,ɛk-lɑe/ kɛbol ɛk
,Only two,bəs dui,bəs do,sirf dui,sirf di,čʰəɽe do,fəkət̪ d̪on,keʋəl dui,kʰɑli dənɑ,dui-mɑtro,kʰɑli duʈɑ,bəs do,sirf do,mɑtrə dui-ʈɑ/ǰuɖe,sirf žə,fəktə don,fəft be,ruɡo bə,sirf do,sirif duiɡo,bes,kʰɑli du,keʋle dʋe,əbɡɑ duʈɑ,mɑt̪ro duiʈɑ,sirf do,duʈʰɑn či,sirf du,kʰɑli/kɛbol dui
,Only three,bəs trɑi,bəs trɛ,sirf tin,sirf tin,čʰəɽe trɛ,fəkət̪ t̪ɪn,keʋəl tin,kʰɑli ʈenɑ,kebol mɑtro tin-ʈe,kʰɑli tinʈɑ,bəs tin,sirf tinn,mɑtrə tin-ʈɑ,sirf treh,fəktə tin,fəft troɳ,ruɡo ʈre,sirf trɛ,sirif tinɡo,pʰəkət təɳ,kʰɑli tin,keʋlɑni triɳi,əbɡɑ tinʈɑ,mɑtro tinʈɑ,sirf tin,tin ʈʰən či,sirf tin,kʰɑli/kɛbol tin
,Only five,bəs tʃɑr,bəs pənǰ,sirf pɑ̃č,sirf pɑ̃č,čʰəɽe pənǰ,fəkət̪ pɑ̃t͡s,keʋəl pɑ̃tʃ,kʰɑli mɑčɑ,kebol mɑtro čɑr-ʈe,kʰɑli pɑsʈɑ,bəs tʃɑr,sirf pənǰ,mɑtrə pɑ̃č-ʈɑ,sirf pɑ̃tʃ,fəktə pats,fəft pɑ̃č,ruɡo pənǰ,sirf pənǰ,sirif čɑirɡo,pʰəkət pɑs,kʰɑli pɑč,keʋləm pə̃nč,əbɡɑ pɑ̃tʃʈɑ,mɑtro fɑsʈɑ,sirf pɑ̃tʃ,pɑ̃č ʈʰən či,sirf čɑir,kʰɑli/kɛbol pɑč
,Only ten,bəs põǰ,bəs dəs,sirf dəs,sirf dəs,čʰəɽe dəs,fəkət̪ dʰɑ,keʋəl dəs,kʰɑli sihəm,kebol mɑtro pɑ̃č-ʈɑ,kʰɑli dosʈɑ,bəs pɑ̃č,sirf dəs,mɑtrə dəs-ʈɑ,sirf dəh,fəktə dəha,fəft dəs,ruɡo ɖə,sirf dəs,sirif pɑčɡo,pʰəkət dəs,kʰɑli dəs,keʋləm dəʃ,əbɡɑ dəsʈɑ,mɑtro dɔʃʈɑ,sirf dəs,dəs ʈʰən či,sirf pɑ̃č,kʰɑli/kɛbol dɔs
,There is only one child,ɔkʰe tɑ bəs ek-kɛ bʰɑu/bʰĩɖ sɑ,ittʰe ekko bəččɑ ɛ,jəkʰ keʋəl ek bəččɑ čə,ijɑ sirf ek nɑn čʰu,iʈʰi sirf/čʰəɽe ək čʰokro,fəkət̪ ekut͡s bʰurəɡɛ̃ ɑsɑ,tejɑ̃ keʋəl eoʈɑ mɑtrəi bəccɑ čʰə,hĩɑ kʰɑli ənɑʈɑ čʰuɑ ɑhe,kebol mɑtro ɛk-ʈɑ bɑččɑ ɑčʰe,tɑte kʰɑli eʈɑ bɑtʃɑ ɑse,bəʈʰə bəs ek ʈɑbbər i ɛ,otʰe bəs ek hi bəccɑ ɛ,həne ɡuʈɛ čʰuʋɑ əčʰe,tət čʰɘ əkoi/əkke bəčč,titʰe ekəts mul ahe,tjɑ ekəǰ bɑɭək čʰe,hutte ruɡo ik-ɽo bɑr ɑjə,utʰe sirf ek bəččɑ ɛ,hĩjɑ sirif eɡo čʰəuʋɑ həj,ije sirəf ek soru hɛ,huɑ̃ keʋəl eɡo ləikɑ həi,tətr keʋləh ekəh bɑləh əsti,hiɑ̃ əbɡɑ ekʈɑ čʰuɑ ɑhe,mɑtro æxʈɑ sele ɑse,ʋəhɑ̃ sirf ɑek bətʃɑh hɛ,etʰɑ ɡoʈki pilɑ ɑse,hiɑ̃ sirf ekke ɡo bəččɑ həi,oʈɛ kɛbol ɛk-ʈɑ ʃisu
,He ate only four mangoes,tɛie-tɑ bəs tʃɑr-ɛ  ɑ:m kʰɑe,unne sɑre čɑr əmb kʰɑdde,ʋel keʋəl čɑr ɑm kʰi,u sirf čɑr ɑ:m kʰɛ rɔ,tini čʰəɽe čɑr əmb kʰɑe,t̪ɑɳɛ̃ fəkət̪ cɑr ɑ̃bɛ kʰɑllɛ,ulləi keʋɑl tʃɑroʈɑ ɑp mɑtrəi kʰɑjo,əə̃ kʰɑli čɑrɑ ʈɑ ɑ:m nuɽle ɑhe,o kʰɑli čɑr-ʈe ɑ:m kʰeječʰe,hi kʰɑli šɑriʈɑi ɑ:m kʰɑle,bo kʰɑli čɑr ɑ:m kʰɑjɑ,one čɑr hi əmb kʰɑde,se čɑr-ʈɑ ɑ:m kʰɑjelɑ,em kʰe sirf tʃuʋər/tʃor ɑ:m,tyane fəktə tʃar ambe kʰalle,teɳe fəft čɑr kɛri kʰɑdi,hun ruɡo čɑr əmb kʰɑdɑ,us kʰɑli čɑr əmm kʰɑde,u: sirif čɑirɡo ɑ:m kʰɑlək,ene sirəf ʃɑr kerije kʰɑdi,u kʰɑli čɑr ɡo ɑ:m kʰələi,səh keʋləm čətʋɑri ɑmrəpʰəlɑni kʰɑditʋɑn,u əbɡɑ tʃɑirʈɑ ɑm kʰɑlo,he mɑtro sɑiʈʈɑ ɑm xɑise,usne sirf tʃɑr ɑm kʰɑe,hun čɑreč ʈʰən ɑmɑ kʰɑdlo,u sirf čɑir ɡo ɑm kʰɑe,umɑj kʰɑl čɑir-ʈe ɑ:m kʰɑi če
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Distributives,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,One each,ek-ek,ekko ɡi,ek ek,ek ek səbko,ək ək,prt̪jekɑk ek,prətjek ek/ ek ek,ənɑʈɑ ke,ɛk-ʈɑ - ɛk-ʈɑ kɔre,ɛʈɑ ɛʈɑ/ ɛʈɑ ke soboke,ek ǰəɳənə ek,kəllɑ kəllɑ,ɡuʈɛ ɡuʈɛ səbke,sɑjrnen əkʰ əkʰ,prətyeki ek,ek ek bədɑne,səbʰin kʰẽ hik,ek hər kisei/sɑre ne ek ek,ek ek ɡo səbke,səbne ek,səbke ek ek,prətjekəm,ek ke/ek ek,æx-æxʈɑ,hər ɑek/ ɑek ɑek,ɡoʈək ɡoʈək ne ɡoʈək,ek ek ɡo,ɛkʈɑ ɛkʈɑ
,Three each,dui-dui,tenne ɡi,dui dui,tin tin səbko,trɛ trɛ,prt̪jekɑk t̪ɪn,tin prətjek/tin tin,ʈenɑʈɑ ke,tinʈe-tinʈe kɔre,tiniʈɑ kɛ soboke,ek ǰəɳənə tin,tinne ǰəɳe,tin-tin,sɑjrnen trəh trəh,prətyeki teen,tron tron sɔune/bədɑne,səbʰin kʰẽ ʈre,trɛ ʋəi ek ek,tin tin ɡo səbke,səbne təɳ,səbke tin tin,prətitrin,hərek ke tin/ tin tin,æx-æxɟone tinʈɑ/ tin-tinʈɑ,hər tin/tin tin,ɡoʈək ɡoʈək ne tin/ tin tin,tin tin ɡo,tinʈɑ/ tinʈɑ tinʈɑ
,Five each,põǰ-põǰ,pənǰe ɡi,pɑ̃č pɑ̃č,pɑ̃č pɑ̃č səbko,pənǰ pənǰ,prt̪jekɑk pɑ̃t͡s,pɑ̃tʃ prətjek/ pɑ̃tʃ pɑ̃tʃ,pɑ̃čʈɑ ke,pɑ̃čʈɑ-pɑ̃čʈɑ kɔre,pɑsʈɑ kɛ soboke,ek ǰəɳənə pɑ̃č,pənǰo ǰəɳe,pɑ̃č-pɑ̃č,sɑjrnen pɑ̃tʃ pɑ̃tʃ,prətyeki pats,pɑ̃č pɑ̃č bədɑne,səbʰin kʰẽ pənǰ,pənǰəi ek ek,pɑč pɑč ɡo səbke,səbne pɑs,səbke pɑč pɑč,prətipə̃nč,hərek ke pɑ̃tʃ/pɑ̃tʃ pɑ̃tʃ,æx-æxɟone fɑsʈɑ/ fɑs-fɑsʈɑ,hər pɑ̃tʃ/pɑ̃tʃ pɑ̃tʃ,ɡoʈək ɡoʈək ne pɑ̃c/ pɑ̃c pɑ̃c,pɑ̃č pɑ̃č ɡo,pɑčʈɑ
,one-by-one,ek-ek kərijɑ,ek ek kərije,ek ek kərikə,ek ek kəne,ək ək kəri kəre,ek ek kərun,ek ek ɡərirə,ekek kəri/ənɑ kəri,ɛk ɛk ǰon kɔre/ɛkǰon͏ ɛkǰon kɔre/ ɛk-ʈɑ ɛk-ʈɑ kɔre/ ɛk-kʰɑna ɛk-kʰɑnɑ kɔre,ɛʈɑ ɛʈɑ kɛ,ek ek kər,ek ek kərke,ɡuʈɛ pəre ɡuʈɛ,əkʰ əkʰ kɛrietʰ,ekek,ek pəčʰi ek,hik ɡuɳɑ hik,ek ek kəri,ek ek kəirke,ek pəse ek,ek ek kərke,ekəm-ekəm,ek ek kəirke,æx(ɟon) æxɟon xoriɑ,ɑek ɑek kər ke,ɡoʈək͏ ɡoʈək kərun,ek ek kəirke,ɛk ɛk ǰon/ ɛk ǰon kori
,two-by-two,dui-dui kərijɑ,do do kərije,dui dui kərikə,di di kəne,do do kəri kəre,don bɑj don,dui dui ɡərirə/ duiʈɑ duiʈɑ,dənɑ kəri,dui dui ǰon kɔre,duʈɑ duʈɑ kɛ,do do kər,do do kərke,dui-ʈɑ pəre dui-ʈɑ,žə žə kɛrietʰ,dondon,be pəčʰi be/ be be,bə ɡuɳɑ bə,do do kəri,dui dui kəirke,be pəse be,du du kərke,dʋe-dʋe,dui dui kəirke,dui(ɟon) duiɟon xoriɑ,do do kər ke,duj duj ʈʰən kərun,du du kəirke,dui dui ǰon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Approximatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Approximately 20 kilos of rice are in the sack.,-,ləɡbəɡ bi kilo čoɭ boriččə pɛ dene ɛ,ləɡbəɡə bis kil bərɑbər čɑul bore me (rəkʰijɑ) čʰe,ləɡbʰəɡ bis kilo čɑur bori me čʰe,bori mənǰ ləɡbəɡ bi kilo čoɭnə,sɑkɑ̃t̪ sumɑr 20 kɪlo t̪ɑ̃d̪uɭ ɑsɑt̪,ǰʰənɖəi bis kilo cɑʋəl bori mə čʰə,bərɑj̃ ɡəʈɑɡəʈi ek kʰə̃ɽi čɑur ɑheik,moʈɑmoʈɪ kurɪ kɪlo čɑ:l eɪ bɔstae ɑ:čʰe,mɒtɑ:motɪ bɪs kɪlo sɑ:ʊl monɑkʰɒnɒt ɑsɛ,koɪ bɪsek  kɪlo čɑvəl mɑjɑ pəɽəjɑ hɛ,ləɡbəɡ ʋɪ kɪlo čɔɭ bore ʋɪčč hən,pɑkʰɑ pɑkʰɪ kuɽɪe kɪlo čɑuɭə borɑ re əčʰɪ,ləɡbəɡ čʰɪjə ʋuh kɪlo t̪omul bohrijə mə̃ǰ,ənd̪ɑže ʋɪs kɪlo t̪ɑnd̪uɽ pot̪jɑ t̪ɑ hɛ,ɑ: koʈʰrɪ mɑ leɡbʰəɡ ʋɪs kɪlo čokʰɑ,ɪn poʈələ me ɡəɳo kəre ʋɪjə kɪro cɑʋər ən,təkribən bi kilo čɑʋəl toɽe ʋič en,moʈɑmoʈi bis kilo čɑur borɑ me həj,ləɡbʰəɡ ʋis kilo sokɑ bori me hɛ,lemsəm bis kilo čɑur bori me həu,prɑjəh ʋĩnʃəti kilo tənɖuləm təsmən sjute əsti,moʈɑmoʈi bis kilo cɑur borɑ mɑhɑn ɑhe,bɔst̪ɑt̪ muʈɑmuʈi biʃ kilo sɑul ɑse,thɛle me təkribən bis kilo tʃɑʋəl hɛ̃,bis kilo əsən čɑur borɑ ne ɑse,moʈɑmoʈi bis kilo čɑur borɑẽ ɑho,-
,Approximately 50% of students are attending the workshop.,-,ləɡbəɡ pəjɑ̃ pərsenʈ bəčče di ɑ̃zri ɛ ʋərkʃɔpəččə,ləɡbəɡə 50% ǰo čʰɑtrɑ če ʋo prətijoɡitɑ me bʰɑ leɳɑ če,-,ləɡbəɡ pejɑ̃ pərsenʈ čʰokro ʋərksɔp əʈend kəru kərde,sumɑr 50% vɪd̪jɑrt̪ɪ hjɑ kɑrjʃɑɭẽt̪ upst̪ɪt̪ ɑsɑt̪,ǰʰənɖəi pəcɑs pərtisət ʋidjɑrtʰi əru ʋərkʃɔp mə bʰɑɡ li rəhi kɑčʰən,ɡəʈɑɡəʈi mɑčen pirtisət čəuɑ ʋərksɔpe ɑ:hɑt,moʈɑmoʈɪ pɔ̃nčɑ:š šɔt̪ɑŋšo čʰɑt̪ro-čʰɑt̪rɪ rɑ eɪ wɔrkšɔpe dʒɑččʰe,mɒtɑ:motɪ pɒnsɑsɟdʒɒn sɑ:trɒ sɑ:trɪɑ kɒrmɒhɑlɑ  kʰɒnɒt upɒst̪ʰɪt̪ ɑsɛ,koɪ pɑččɑ:s pərtɪʃət ʈɑbər ɪ: wərksɔp mɛ ǰɑvɛ,ləɡbəɡ pənǰɑ prət̪ɪsət̪ ʋɪd̪jɑrt̪ʰɪ wərksɔp ləɡɑ rəhe hən,pakʰɑ pɑkʰɪ pəčɑs prət̪ɪsət̪ čʰɑt̪rɑ čʰɑt̪rɪ ʋərksɔpe upəst̪ɪt̪ʰə heʊčʰənt̪ɪ,ləɡbəɡ pəntʃə fɪsəd̪ t̪ɑ:lbɪeləm kərən ʃəmulɪət̪ kɑrkʰɑn nəs,ənd̪ɑže pənd̪əs ʈekke ʋɪd̪jɑrt̪ʰɪ kɑrjɑsɑɭɑ məd̪ʰjɑ ɑhe,ləɡbʰəɡ pəčɑs təkɑ ʋɪd̪jɑrt̪ʰijo wərksɔp bʰɑrɪ rəjɑ čʰe,ɡəɳo kəre pənǰɑ prət̪ɪsət̪ bɑr kɑrjɑsɑlɑ me  əčən pjɑ,təkribən pənǰɑ persenʈ bəččɑ kəmm kərnič hɑdʒir ɛ,moʈɑmoʈi pəčɑs prətisət čʰɑtrə mən kɑrjəsɑlɑ me hissɑ leʋət həj,ləɡbʰəɡ pəsɑ prətisət ʃorɑ ʋərkʃɔp me hissɑ lɛrije,ləmsəm pəčɑs pərtisət ləikɑ/čʰɔrɑ/bəččɑ səb kɑrjəsɑlɑ me bʰɑɡ le rəhəl həu,prɑjəh pə̃nčɑʃət prətiʃət čʰɑtrɑh tɑm kɑrjəʃɑlɑm upstʰɑsjənti,moʈɑmoʈi pəcɑs prətisət pəɖʰuɑ čʰəuɑ ʋərkʃɔp məhɑn bʰɑɡ letəhə̃j,muʈɑmuʈi fɔncɑʃ ʃɔt̪ɑŋʃo sɑt̪rorɑ workshop attend xɔrer,təkribən pɑtʃɑs fisəd ʃɑɡird ʋərkʃop me hissɑ le rahɛe hɛ̃,pəčɑs pərtisət əsən pilɑ mən kɑrjəsɑlɑ me bʰɑɡ dʰərsot,moʈɑmoʈi pəcɑs pərtisət skulijɑ čʰəuɑ ʋərʃɔpe hissɑ le rəhəl hət,-
